,iso,year,gdpPerc
410,LBN,1950,0.1161929103
411,LBR,1950,0.009035961119
412,LBY,1950,0.03120594901
413,LCA,1950,0.001643837427
414,LKA,1950,0.1495961565
415,LSO,1950,0.0030815364
416,LTU,1950,0.04465451916
417,LUX,1950,0.039832863
418,LVA,1950,0.03386257309
419,MAR,1950,0.2426299373
420,MDA,1950,0.04085897248
421,MDG,1950,0.09683902774
422,MEX,1950,1.29888193
423,MKD,1950,0.02142647316
424,MLI,1950,0.02442646855
425,MLT,1950,0.005402721746
426,MMR,1950,0.09909101289
427,MNE,1950,0.006926435404
428,MNG,1950,0.015665486
429,MOZ,1950,0.02352773893
430,MRT,1950,0.01149279718
431,MUS,1950,0.0142651259
432,MWI,1950,0.01453881692
433,MYS,1950,0.2033109146
434,NAM,1950,0.02091482599
435,NER,1950,0.03408513322
436,NGA,1950,0.680369475
437,NIC,1950,0.04458031062
438,NLD,1950,1.190763391
439,NOR,1950,0.5828376051
440,NPL,1950,0.07621874449
441,NZL,1950,0.2898834791
442,OMN,1950,0.01853082362
443,PAK,1950,0.5414853494
444,PAN,1950,0.02661057379
445,PER,1950,0.3239024892
446,PHL,1950,0.4622910729
447,POL,1950,1.289317256
448,PRI,1950,0.1147636022
449,PRK,1950,0.06448541607
450,PRT,1950,0.3325715322
451,PRY,1950,0.04119722635
452,PSE,1950,0.009687601743
453,QAT,1950,0.097613665
454,ROU,1950,0.2852956764
455,RUS,1950,8.735616762
456,RWA,1950,0.01596776494
457,SAU,1950,0.4507896229
458,SDN,1950,0.1690191738
459,SEN,1950,0.05148891677
460,SGP,1950,0.05022620417
461,SLE,1950,0.02081372081
462,SLV,1950,0.06962203023
463,STP,1950,0.0009178682429
464,SVK,1950,0.06057132779
465,SVN,1950,0.02567678579
466,SWE,1950,0.8713244013
467,SWZ,1950,0.0027836875
468,SYC,1950,0.001577496023
469,SYR,1950,0.06803354641
470,TCD,1950,0.02837159981
471,TGO,1950,0.01369613924
472,THA,1950,0.2493027041
473,TJK,1950,0.01457426811
474,TKM,1950,0.01146890118
475,TTO,1950,0.02985284624
476,TUN,1950,0.07149345795
477,TUR,1950,0.5953063629
478,TWN,1950,0.1102367179
479,TZA,1950,0.101560779
480,UGA,1950,0.06422952157
481,UKR,1950,0.6432314696
482,URY,1950,0.1650399116
483,USA,1950,25.32280105
484,UZB,1950,0.05994501256
485,VEN,1950,0.5217392887
486,VNM,1950,0.2685616574
487,YEM,1950,0.07526681081
488,ZAF,1950,0.8923348767
489,ZMB,1950,0.05529583314
490,ZWE,1950,0.03592432862
491,AFG,1960,0.1872699068
492,AGO,1960,0.2041482952
493,ALB,1960,0.02913088103
494,ARE,1960,0.1379956068
495,ARG,1960,1.397819857
496,ARM,1960,0.01642924324
497,AUS,1960,1.149041006
498,AUT,1960,0.5530114544
499,AZE,1960,0.03412430296
500,BDI,1960,0.01290021318
